시군구별,연료별,용도별,승용,승합,화물,특수,계
강화군,전기,비사업용,433 ,0 ,292 ,0 ,725 
강화군,전기,사업용,1310 ,24 ,31 ,0 ,1365 
옹진군,전기,비사업용,77 ,0 ,31 ,0 ,108 
옹진군,전기,사업용,12 ,0 ,3 ,0 ,15 
중구,전기,비사업용,995 ,3 ,134 ,0 ,1132 
중구,전기,사업용,89 ,12 ,84 ,0 ,185 
동구,전기,비사업용,128 ,0 ,41 ,0 ,169 
동구,전기,사업용,65 ,0 ,43 ,0 ,108 
미추홀구,전기,비사업용,960 ,0 ,209 ,0 ,1169 
미추홀구,전기,사업용,444 ,0 ,205 ,0 ,649 
연수구,전기,비사업용,2840 ,2 ,195 ,0 ,3037 
연수구,전기,사업용,319 ,71 ,125 ,0 ,515 
남동구,전기,비사업용,3012 ,0 ,346 ,0 ,3358 
남동구,전기,사업용,977 ,0 ,234 ,0 ,1211 
부평구,전기,비사업용,1930 ,0 ,209 ,1 ,2140 
부평구,전기,사업용,538 ,2 ,210 ,0 ,750 
계양구,전기,비사업용,540 ,0 ,281 ,0 ,821 
계양구,전기,사업용,4395 ,0 ,165 ,0 ,4560 
서구,전기,비사업용,2807 ,3 ,535 ,0 ,3345 
서구,전기,사업용,506 ,62 ,312 ,0 ,880 
