구분,창원,진주,통영,사천,김해,밀양,거제,양산,의령,함안,창녕,고성,남해,하동,산청,함양,거창,합천
2022,2252,2279,321,243,853,431,529,1088,105,276,221,194,172,167,138,124,191,197
2021,1582,1329,111,173,375,292,209,720,69,114,183,100,70,118,138,58,101,109
2020,944,235,45,69,273,77,72,409,24,55,50,25,37,59,49,45,43,40
2019,592,141,65,35,164,40,45,159,14,14,30,10,17,32,24,12,22,13
2018,456,63,27,40,152,40,46,125,7,17,8,9,20,12,26,8,9,8
2017,139,6,10,12,82,16,19,37,5,9,15,3,12,15,19,1,7,3
2016,72,0,0,1,17,4,10,11,0,0,0,0,2,0,3,1,0,1
2015,111,0,0,0,0,0,4,0,0,0,0,0,0,1,2,0,1,0
2014,100,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1
2013,50,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0
2012,21,0,1,0,2,0,0,2,0,0,0,1,1,0,1,2,1,0
2011,47,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0
